sex,yob,g2000,g2002,g2004,p2000,p2002,p2004,treatment,cluster,voted,hh_id,hh_size,numberofnames,p2004_mean,g2004_mean,voted_ind
female,1949,yes,yes,yes,no,yes,Yes,Hawthorne,4569,No,82227,2,21,0.2380952,0.952381,0
female,1959,yes,no,yes,no,no,Yes,Control,4569,No,82228,1,21,0.2380952,0.952381,0
female,1947,yes,yes,yes,yes,yes,Yes,Control,4569,No,82229,2,21,0.2857143,0.8095238,0
male,1947,yes,yes,yes,no,no,No,Control,4569,No,82229,2,21,0.2857143,0.8095238,0
male,1959,yes,yes,yes,no,no,No,Civic Duty,4569,No,82230,2,21,0.2380952,0.9047619,0
female,1962,yes,yes,yes,no,no,No,Civic Duty,4569,No,82230,2,21,0.2380952,0.9047619,0
female,1969,yes,yes,yes,yes,no,Yes,Self,4569,No,82231,2,21,0.1428571,0.7619048,0
male,1972,yes,yes,yes,yes,yes,Yes,Self,4569,No,82231,2,21,0.1428571,0.7619048,0
female,1985,no,no,yes,no,no,No,Control,4569,No,82232,4,21,0.2380952,0.8571429,0
female,1953,yes,yes,yes,no,no,No,Control,4569,No,82232,4,21,0.2380952,0.8571429,0
male,1981,no,no,yes,no,no,No,Control,4569,No,82232,4,21,0.2380952,0.8571429,0
male,1953,yes,yes,yes,yes,no,Yes,Control,4569,Yes,82232,4,21,0.2380952,0.8571429,1
female,1958,yes,yes,yes,no,no,No,Neighbors,4569,No,82233,2,21,0.2857143,0.8571429,0
male,1945,yes,yes,yes,no,no,Yes,Neighbors,4569,No,82233,2,21,0.2857143,0.8571429,0
female,1965,yes,yes,yes,yes,yes,No,Control,4569,No,82234,2,21,0.2857143,0.9047619,0
male,1964,yes,yes,yes,no,yes,No,Control,4569,No,82234,2,21,0.2857143,0.9047619,0
female,1953,yes,yes,yes,no,no,No,Civic Duty,4569,No,82235,2,21,0,0.8571429,0
male,1947,yes,yes,yes,no,no,No,Civic Duty,4569,No,82235,2,21,0,0.8571429,0
male,1935,yes,yes,yes,yes,no,Yes,Control,4569,No,82236,1,21,0.1428571,0.9047619,0
male,1978,yes,yes,yes,yes,yes,Yes,Control,4569,No,82237,4,21,0.4285714,0.8571429,0
female,1954,yes,yes,yes,yes,yes,Yes,Control,4569,Yes,82237,4,21,0.4285714,0.8571429,1
male,1976,yes,no,yes,no,no,Yes,Control,4569,No,82237,4,21,0.4285714,0.8571429,0
male,1954,yes,yes,yes,yes,yes,Yes,Control,4569,Yes,82237,4,21,0.4285714,0.8571429,1
female,1966,yes,yes,yes,no,no,No,Hawthorne,4569,No,82238,2,21,0.2380952,0.7142857,0
male,1962,yes,yes,yes,no,no,No,Hawthorne,4569,No,82238,2,21,0.2380952,0.7142857,0
male,1948,yes,yes,yes,no,no,Yes,Self,4569,No,82239,2,21,0.0952381,0.7142857,0
female,1953,yes,yes,yes,no,no,No,Self,4569,No,82239,2,21,0.0952381,0.7142857,0
female,1972,yes,yes,yes,no,no,Yes,Control,4569,Yes,82240,1,21,0.3333333,1,1
male,1967,yes,yes,yes,no,no,No,Control,4569,No,82241,2,21,0.047619,0.952381,0
female,1971,yes,yes,yes,no,no,No,Control,4569,No,82241,2,21,0.047619,0.952381,0
male,1940,yes,yes,yes,no,no,No,Control,4569,No,82242,2,21,0.0952381,1,0
female,1942,yes,yes,yes,no,no,No,Control,4569,No,82242,2,21,0.0952381,1,0
female,1959,yes,yes,yes,no,no,No,Control,4615,Yes,83053,2,21,0.0952381,0.8571429,1
male,1965,yes,yes,yes,yes,no,No,Control,4615,Yes,83053,2,21,0.0952381,0.8571429,1
female,1933,yes,yes,yes,no,yes,No,Control,4615,No,83054,2,21,0.047619,0.952381,0
male,1929,yes,yes,yes,no,yes,No,Control,4615,No,83054,2,21,0.047619,0.952381,0
male,1928,yes,yes,yes,yes,yes,No,Control,4615,Yes,83055,2,21,0.1904762,1,1
female,1934,yes,yes,yes,yes,yes,No,Control,4615,Yes,83055,2,21,0.1904762,1,1
female,1937,yes,yes,yes,yes,yes,No,Control,4615,Yes,83056,3,21,0,0.9047619,1
male,1934,yes,yes,yes,yes,yes,No,Control,4615,Yes,83056,3,21,0,0.9047619,1
male,1956,yes,yes,yes,no,no,No,Control,4615,Yes,83056,3,21,0,0.9047619,1
female,1935,yes,yes,yes,no,no,No,Hawthorne,4615,No,83057,3,21,0.1904762,1,0
male,1963,yes,yes,yes,no,yes,No,Hawthorne,4615,No,83057,3,21,0.1904762,1,0
male,1923,yes,yes,yes,no,no,No,Hawthorne,4615,No,83057,3,21,0.1904762,1,0
male,1925,yes,yes,yes,yes,no,No,Civic Duty,4615,No,83058,2,21,0.1904762,1,0
female,1940,yes,yes,yes,yes,no,No,Civic Duty,4615,No,83058,2,21,0.1904762,1,0
male,1941,yes,yes,yes,yes,yes,No,Control,4615,No,83059,1,21,0.1904762,0.952381,0
male,1963,no,yes,yes,yes,no,Yes,Neighbors,4615,No,83060,2,21,0.2857143,0.8095238,0
female,1961,yes,yes,yes,yes,no,Yes,Neighbors,4615,No,83060,2,21,0.2857143,0.8095238,0
female,1936,yes,yes,yes,yes,yes,No,Control,4615,No,83061,2,21,0.1428571,0.8095238,0
male,1934,yes,yes,yes,yes,yes,No,Control,4615,No,83061,2,21,0.1428571,0.8095238,0
female,1944,yes,yes,yes,no,no,No,Hawthorne,4615,No,83062,2,21,0.2857143,0.952381,0
male,1944,yes,yes,yes,no,no,No,Hawthorne,4615,No,83062,2,21,0.2857143,0.952381,0
male,1952,yes,yes,yes,no,no,No,Control,4615,No,83063,2,21,0.3333333,0.952381,0
female,1952,yes,yes,yes,yes,no,No,Control,4615,No,83063,2,21,0.3333333,0.952381,0
female,1925,yes,yes,yes,yes,no,No,Civic Duty,4615,No,83064,2,21,0.2380952,1,0
male,1919,no,yes,yes,no,no,No,Civic Duty,4615,No,83064,2,21,0.2380952,1,0
female,1947,yes,yes,yes,yes,no,Yes,Control,4615,No,83065,3,21,0.2380952,1,0
male,1947,yes,yes,yes,no,no,Yes,Control,4615,No,83065,3,21,0.2380952,1,0
male,1974,yes,yes,yes,no,no,No,Control,4615,No,83065,3,21,0.2380952,1,0
male,1952,yes,yes,yes,no,no,No,Neighbors,4615,No,83066,3,21,0.3809524,1,0
female,1986,no,no,yes,no,no,No,Neighbors,4615,No,83066,3,21,0.3809524,1,0
female,1962,yes,yes,yes,no,yes,No,Neighbors,4615,No,83066,3,21,0.3809524,1,0
male,1957,yes,no,yes,no,yes,No,Self,4615,No,83067,2,21,0.3333333,0.952381,0
male,1912,yes,yes,yes,no,no,No,Self,4615,No,83067,2,21,0.3333333,0.952381,0
male,1924,no,yes,yes,yes,no,Yes,Control,4615,No,83068,1,21,0.4761905,1,0
female,1985,no,no,yes,no,no,No,Self,4615,No,83069,2,21,0.3333333,0.7619048,0
male,1961,yes,yes,yes,yes,yes,No,Self,4615,No,83069,2,21,0.3333333,0.7619048,0
male,1959,yes,yes,yes,no,no,Yes,Control,4615,No,83070,2,21,0.3333333,0.7619048,0
female,1962,yes,yes,yes,no,no,Yes,Control,4615,Yes,83070,2,21,0.3333333,0.7619048,1
male,1962,yes,yes,yes,yes,yes,Yes,Control,4654,Yes,83755,1,21,0.0952381,0.7142857,1
male,1946,yes,no,yes,yes,yes,No,Control,4654,No,83756,1,21,0.0952381,0.7142857,0
male,1938,yes,yes,yes,yes,yes,No,Self,4654,No,83757,1,21,0.4285714,0.952381,0
female,1956,yes,yes,yes,no,no,No,Control,4654,No,83758,2,21,0.2380952,0.952381,0
male,1942,yes,yes,yes,no,no,Yes,Control,4654,No,83758,2,21,0.2380952,0.952381,0
female,1933,yes,yes,yes,yes,yes,No,Control,4654,Yes,83759,1,20,0,0.9,1
male,1959,yes,yes,yes,yes,no,No,Hawthorne,4654,Yes,83760,2,20,0,0.9,1
female,1965,yes,yes,yes,yes,no,No,Hawthorne,4654,Yes,83760,2,20,0,0.9,1
female,1965,yes,yes,yes,no,yes,Yes,Neighbors,4654,Yes,83761,1,21,0.3333333,0.8095238,1
male,1941,yes,yes,yes,yes,yes,No,Control,4654,No,83762,2,21,0.3333333,0.9047619,0
female,1946,yes,yes,yes,yes,yes,No,Control,4654,No,83762,2,21,0.3333333,0.9047619,0
female,1932,yes,no,yes,yes,no,Yes,Control,4654,No,83763,1,21,0.2857143,0.8571429,0
male,1925,yes,yes,yes,yes,no,No,Neighbors,4654,Yes,83764,1,21,0.2380952,0.7619048,1
female,1952,yes,yes,yes,yes,yes,No,Self,4654,No,83765,2,20,0.25,1,0
male,1951,yes,yes,yes,yes,yes,No,Self,4654,No,83765,2,20,0.25,1,0
male,1982,yes,no,yes,no,no,No,Civic Duty,4654,No,83766,4,21,0,0.8571429,0
female,1951,yes,yes,yes,no,yes,No,Civic Duty,4654,No,83766,4,21,0,0.8571429,0
male,1949,yes,yes,yes,no,yes,No,Civic Duty,4654,No,83766,4,21,0,0.8571429,0
male,1978,no,no,yes,no,no,No,Civic Duty,4654,No,83766,4,21,0,0.8571429,0
male,1951,yes,yes,yes,yes,yes,Yes,Control,4654,Yes,83767,3,21,0.0952381,0.8571429,1
female,1952,yes,yes,yes,yes,yes,No,Control,4654,Yes,83767,3,21,0.0952381,0.8571429,1
male,1974,no,no,yes,no,no,No,Control,4654,Yes,83767,3,21,0.0952381,0.8571429,1
male,1948,yes,yes,yes,no,no,No,Control,4654,No,83768,4,21,0.0952381,0.8095238,0
male,1929,yes,yes,yes,no,no,No,Control,4654,No,83768,4,21,0.0952381,0.8095238,0
female,1948,yes,yes,yes,no,no,No,Control,4654,No,83768,4,21,0.0952381,0.8095238,0
female,1932,yes,yes,yes,yes,no,No,Control,4654,Yes,83768,4,21,0.0952381,0.8095238,1
female,1937,yes,yes,yes,yes,yes,No,Control,4654,No,83769,2,21,0.047619,0.952381,0
male,1934,yes,yes,yes,yes,yes,No,Control,4654,No,83769,2,21,0.047619,0.952381,0
male,1923,yes,yes,yes,yes,yes,No,Control,4654,No,83770,1,21,0.1904762,0.9047619,0
male,1964,yes,yes,yes,no,yes,No,Hawthorne,4654,No,83771,2,21,0.047619,0.8095238,0
female,1960,no,no,yes,no,no,No,Hawthorne,4654,No,83771,2,21,0.047619,0.8095238,0
male,1934,yes,yes,yes,yes,yes,No,Civic Duty,4654,No,83772,2,21,0,0.8571429,0
female,1934,yes,yes,yes,yes,yes,No,Civic Duty,4654,No,83772,2,21,0,0.8571429,0
female,1943,yes,yes,yes,no,no,No,Control,4681,No,84241,2,21,0.2857143,0.6666667,0
male,1944,yes,yes,yes,no,no,No,Control,4681,No,84241,2,21,0.2857143,0.6666667,0
female,1957,yes,yes,yes,no,no,No,Control,4681,No,84242,2,21,0.2857143,0.6666667,0
male,1953,yes,yes,yes,no,yes,No,Control,4681,No,84242,2,21,0.2857143,0.6666667,0
male,1954,yes,yes,yes,no,yes,No,Civic Duty,4681,No,84243,3,21,0.0952381,0.8571429,0
female,1986,no,no,yes,no,no,No,Civic Duty,4681,No,84243,3,21,0.0952381,0.8571429,0
female,1927,yes,yes,yes,no,yes,No,Civic Duty,4681,No,84243,3,21,0.0952381,0.8571429,0
female,1951,yes,yes,yes,yes,no,No,Control,4681,No,84244,2,21,0.1904762,0.9047619,0
male,1951,yes,yes,yes,yes,no,No,Control,4681,No,84244,2,21,0.1904762,0.9047619,0
male,1955,yes,yes,yes,no,yes,No,Control,4681,No,84245,2,21,0.4285714,0.9047619,0
female,1957,yes,yes,yes,no,yes,No,Control,4681,No,84245,2,21,0.4285714,0.9047619,0
female,1951,yes,yes,yes,no,no,No,Hawthorne,4681,No,84246,2,21,0.2380952,0.9047619,0
male,1983,no,no,yes,no,no,No,Hawthorne,4681,No,84246,2,21,0.2380952,0.9047619,0
male,1940,yes,yes,yes,no,no,No,Control,4681,No,84247,1,21,0.2380952,0.9047619,0
male,1928,yes,yes,yes,no,no,Yes,Control,4681,No,84248,1,21,0.4285714,0.9047619,0
male,1963,yes,yes,yes,yes,no,No,Control,4681,No,84249,2,21,0.0952381,0.8095238,0
female,1962,yes,yes,yes,yes,no,No,Control,4681,No,84249,2,21,0.0952381,0.8095238,0
female,1955,yes,yes,yes,yes,no,No,Hawthorne,4681,No,84250,2,21,0.1428571,0.8571429,0
male,1956,yes,yes,yes,yes,no,No,Hawthorne,4681,No,84250,2,21,0.1428571,0.8571429,0
male,1958,yes,yes,yes,no,no,No,Control,4681,No,84251,2,21,0,0.7142857,0
female,1965,yes,yes,yes,yes,no,No,Control,4681,No,84251,2,21,0,0.7142857,0
female,1925,no,yes,yes,no,yes,No,Neighbors,4681,No,84252,1,21,0.047619,0.8571429,0
male,1944,yes,yes,yes,yes,yes,No,Self,4681,Yes,84253,1,21,0.1428571,0.8571429,1
male,1956,yes,yes,yes,yes,yes,No,Self,4681,No,84254,2,21,0.047619,0.7619048,0
female,1957,yes,yes,yes,yes,yes,No,Self,4681,No,84254,2,21,0.047619,0.7619048,0
male,1959,yes,yes,yes,yes,yes,No,Control,4681,No,84255,2,21,0.0952381,0.8571429,0
female,1956,yes,yes,yes,no,yes,No,Control,4681,No,84255,2,21,0.0952381,0.8571429,0
female,1957,yes,yes,yes,no,yes,No,Civic Duty,4681,No,84256,2,21,0.0952381,0.9047619,0
male,1955,yes,no,yes,no,yes,No,Civic Duty,4681,No,84256,2,21,0.0952381,0.9047619,0
male,1959,yes,yes,yes,no,no,No,Neighbors,4681,No,84257,3,21,0.0952381,0.9047619,0
female,1958,yes,yes,yes,yes,yes,No,Neighbors,4681,Yes,84257,3,21,0.0952381,0.9047619,1
female,1983,no,no,yes,no,no,No,Neighbors,4681,No,84257,3,21,0.0952381,0.9047619,0
female,1968,yes,yes,yes,no,no,No,Control,4681,No,84258,2,21,0.047619,0.9047619,0
male,1969,yes,yes,yes,yes,no,No,Control,4681,No,84258,2,21,0.047619,0.9047619,0
female,1964,yes,yes,yes,no,no,No,Control,4688,No,84367,2,21,0.3333333,0.9047619,0
male,1964,yes,yes,yes,yes,no,Yes,Control,4688,No,84367,2,21,0.3333333,0.9047619,0
male,1952,yes,yes,yes,yes,no,No,Control,4688,Yes,84368,3,21,0.047619,0.952381,1
male,1983,no,no,yes,no,no,No,Control,4688,No,84368,3,21,0.047619,0.952381,0
female,1956,yes,yes,yes,yes,yes,No,Control,4688,Yes,84368,3,21,0.047619,0.952381,1
female,1958,yes,yes,yes,no,yes,No,Self,4688,Yes,84369,2,21,0.1904762,0.952381,1
male,1959,yes,yes,yes,yes,yes,Yes,Self,4688,Yes,84369,2,21,0.1904762,0.952381,1
female,1953,yes,yes,yes,no,yes,No,Control,4688,No,84370,1,21,0.2380952,0.9047619,0
female,1958,yes,yes,yes,no,no,No,Control,4688,No,84371,2,21,0.2857143,0.9047619,0
male,1959,yes,yes,yes,no,yes,No,Control,4688,No,84371,2,21,0.2857143,0.9047619,0
male,1942,yes,yes,yes,no,no,Yes,Control,4688,Yes,84372,1,21,0.2857143,0.9047619,1
male,1960,yes,yes,yes,no,no,No,Civic Duty,4688,No,84373,2,21,0.047619,0.8095238,0
female,1961,yes,yes,yes,yes,yes,No,Civic Duty,4688,No,84373,2,21,0.047619,0.8095238,0
male,1962,no,yes,yes,no,yes,Yes,Hawthorne,4688,No,84374,2,21,0.1904762,1,0
female,1964,no,yes,yes,no,yes,No,Hawthorne,4688,No,84374,2,21,0.1904762,1,0
male,1971,yes,yes,yes,yes,yes,No,Self,4688,No,84375,2,21,0.2380952,0.952381,0
female,1971,yes,yes,yes,yes,yes,No,Self,4688,No,84375,2,21,0.2380952,0.952381,0
male,1934,yes,yes,yes,no,no,Yes,Control,4688,Yes,84376,2,21,0.0952381,0.7619048,1
female,1942,yes,yes,yes,no,no,Yes,Control,4688,Yes,84376,2,21,0.0952381,0.7619048,1
female,1986,no,no,yes,no,no,No,Neighbors,4688,Yes,84377,5,21,0.1904762,0.952381,1
male,1982,yes,yes,yes,no,no,No,Neighbors,4688,Yes,84377,5,21,0.1904762,0.952381,1
female,1984,no,no,yes,no,no,Yes,Neighbors,4688,Yes,84377,5,21,0.1904762,0.952381,1
female,1955,yes,yes,yes,no,no,Yes,Neighbors,4688,Yes,84377,5,21,0.1904762,0.952381,1
male,1951,yes,yes,yes,no,no,Yes,Neighbors,4688,Yes,84377,5,21,0.1904762,0.952381,1
female,1986,no,no,yes,no,no,No,Civic Duty,4688,No,84378,3,21,0.047619,0.7619048,0
male,1953,yes,yes,yes,no,yes,No,Civic Duty,4688,No,84378,3,21,0.047619,0.7619048,0
female,1959,yes,yes,yes,no,yes,No,Civic Duty,4688,No,84378,3,21,0.047619,0.7619048,0
female,1952,yes,yes,yes,yes,no,No,Control,4688,Yes,84379,2,21,0.047619,0.8571429,1
male,1957,yes,yes,yes,yes,no,No,Control,4688,Yes,84379,2,21,0.047619,0.8571429,1
male,1964,yes,yes,yes,no,yes,No,Neighbors,4688,No,84380,2,21,0.2857143,0.9047619,0
female,1959,yes,yes,yes,no,yes,No,Neighbors,4688,Yes,84380,2,21,0.2857143,0.9047619,1
female,1958,yes,yes,yes,yes,no,No,Hawthorne,4688,No,84381,2,21,0.2857143,0.9047619,0
male,1957,yes,yes,yes,yes,no,Yes,Hawthorne,4688,No,84381,2,21,0.2857143,0.9047619,0
male,1937,yes,yes,yes,yes,yes,No,Control,4688,No,84382,1,21,0.2857143,0.9047619,0
male,1952,yes,yes,yes,no,no,Yes,Control,4688,No,84383,2,21,0.4761905,0.9047619,0
female,1959,yes,yes,yes,no,no,No,Control,4688,No,84383,2,21,0.4761905,0.9047619,0
female,1965,yes,yes,yes,yes,no,No,Control,4688,No,84384,2,21,0,0.952381,0
male,1953,yes,yes,yes,yes,no,No,Control,4688,No,84384,2,21,0,0.952381,0
male,1941,no,no,yes,no,no,Yes,Control,4694,No,84475,1,21,0.5714286,0.952381,0
female,1940,no,yes,yes,no,no,No,Self,4694,No,84476,1,21,0.2380952,0.7619048,0
female,1938,yes,yes,yes,no,no,Yes,Control,4694,Yes,84477,2,21,0.4285714,0.9047619,1
male,1939,yes,yes,yes,no,no,Yes,Control,4694,Yes,84477,2,21,0.4285714,0.9047619,1
male,1944,yes,yes,yes,yes,no,Yes,Control,4694,Yes,84478,1,21,0.5238096,0.8571429,1
female,1982,no,no,yes,no,no,No,Control,4694,No,84479,3,21,0.5238096,1,0
female,1960,yes,yes,yes,no,no,Yes,Control,4694,No,84479,3,21,0.5238096,1,0
male,1958,no,yes,yes,no,no,Yes,Control,4694,No,84479,3,21,0.5238096,1,0
female,1966,no,yes,yes,no,no,No,Civic Duty,4694,No,84480,2,21,0.3809524,0.9047619,0
male,1962,yes,yes,yes,no,no,Yes,Civic Duty,4694,No,84480,2,21,0.3809524,0.9047619,0
female,1942,yes,yes,yes,no,no,No,Control,4694,No,84481,2,21,0.3809524,0.9047619,0
male,1947,yes,yes,yes,no,yes,No,Control,4694,No,84481,2,21,0.3809524,0.9047619,0
female,1964,yes,yes,yes,yes,yes,Yes,Control,4694,Yes,84482,2,21,0.3809524,0.9047619,1
male,1954,yes,yes,yes,no,no,Yes,Control,4694,No,84482,2,21,0.3809524,0.9047619,0
female,1961,yes,yes,yes,no,no,Yes,Control,4694,No,84483,3,21,0.2857143,0.9047619,0
female,1985,no,no,yes,no,no,No,Control,4694,No,84483,3,21,0.2857143,0.9047619,0
male,1961,yes,yes,yes,no,no,No,Control,4694,Yes,84483,3,21,0.2857143,0.9047619,1
female,1941,yes,yes,yes,no,no,No,Control,4694,Yes,84484,2,21,0.1904762,0.952381,1
male,1939,yes,yes,yes,no,no,No,Control,4694,Yes,84484,2,21,0.1904762,0.952381,1
male,1967,yes,yes,yes,yes,no,Yes,Control,4694,Yes,84485,1,21,0.2857143,0.952381,1
male,1964,yes,yes,yes,no,no,Yes,Control,4694,Yes,84486,2,21,0.2857143,0.952381,1
female,1973,yes,yes,yes,yes,yes,Yes,Control,4694,No,84486,2,21,0.2857143,0.952381,0
female,1966,yes,yes,yes,no,no,Yes,Self,4694,Yes,84487,2,21,0.2380952,0.7619048,1
male,1964,no,yes,yes,no,no,Yes,Self,4694,Yes,84487,2,21,0.2380952,0.7619048,1
male,1947,yes,yes,yes,no,no,No,Hawthorne,4694,Yes,84488,2,21,0.2380952,0.7619048,1
female,1948,yes,yes,yes,no,no,Yes,Hawthorne,4694,Yes,84488,2,21,0.2380952,0.7619048,1
female,1971,yes,yes,yes,no,no,Yes,Civic Duty,4694,No,84489,2,21,0.1904762,0.7142857,0
male,1969,no,yes,yes,no,no,No,Civic Duty,4694,No,84489,2,21,0.1904762,0.7142857,0
female,1956,yes,yes,yes,no,no,No,Neighbors,4694,No,84490,2,21,0.1904762,1,0
male,1948,yes,yes,yes,no,no,No,Neighbors,4694,No,84490,2,21,0.1904762,1,0
female,1953,yes,yes,yes,yes,no,No,Neighbors,4694,No,84491,1,21,0.2380952,1,0
female,1957,no,yes,yes,no,no,Yes,Hawthorne,4694,No,84492,2,21,0.5238096,1,0
male,1948,yes,yes,yes,no,no,Yes,Hawthorne,4694,No,84492,2,21,0.5238096,1,0
male,1984,no,no,yes,no,no,No,Control,4697,No,84529,3,21,0.2857143,0.9047619,0
female,1958,no,yes,yes,no,no,No,Control,4697,Yes,84529,3,21,0.2857143,0.9047619,1
male,1954,no,yes,yes,no,no,No,Control,4697,Yes,84529,3,21,0.2857143,0.9047619,1
female,1956,yes,yes,yes,no,no,Yes,Self,4697,Yes,84530,2,21,0.3809524,1,1
male,1956,yes,yes,yes,no,no,No,Self,4697,Yes,84530,2,21,0.3809524,1,1
male,1958,yes,yes,yes,no,no,Yes,Civic Duty,4697,No,84531,2,21,0.3809524,0.952381,0
female,1952,yes,yes,yes,no,no,Yes,Civic Duty,4697,No,84531,2,21,0.3809524,0.952381,0
female,1946,yes,yes,yes,no,yes,No,Neighbors,4697,No,84532,2,21,0.2857143,0.952381,0
male,1946,yes,yes,yes,no,yes,No,Neighbors,4697,No,84532,2,21,0.2857143,0.952381,0
male,1941,yes,yes,yes,no,no,No,Control,4697,Yes,84533,2,21,0.5238096,0.8571429,1
female,1939,yes,yes,yes,yes,yes,No,Control,4697,Yes,84533,2,21,0.5238096,0.8571429,1
female,1946,no,yes,yes,no,no,Yes,Control,4697,No,84534,2,21,0.2380952,0.952381,0
male,1945,yes,yes,yes,no,no,Yes,Control,4697,No,84534,2,21,0.2380952,0.952381,0
female,1966,yes,yes,yes,yes,no,Yes,Control,4697,Yes,84535,2,21,0.3809524,0.9047619,1
male,1964,yes,yes,yes,yes,yes,Yes,Control,4697,No,84535,2,21,0.3809524,0.9047619,0
female,1948,yes,yes,yes,yes,no,Yes,Control,4697,No,84536,1,21,0.3809524,0.9047619,0
female,1943,yes,yes,yes,yes,no,Yes,Control,4697,Yes,84537,2,19,0.2631579,0.9473684,1
male,1943,yes,yes,yes,yes,no,Yes,Control,4697,No,84537,2,19,0.2631579,0.9473684,0
male,1964,yes,yes,yes,no,no,No,Control,4697,Yes,84538,2,21,0.5714286,0.952381,1
female,1965,yes,yes,yes,yes,no,No,Control,4697,Yes,84538,2,21,0.5714286,0.952381,1
male,1968,yes,yes,yes,no,yes,Yes,Hawthorne,4697,Yes,84539,1,21,0.6190476,0.952381,1
female,1981,no,yes,yes,no,yes,Yes,Control,4697,Yes,84540,3,21,0.4761905,0.9047619,1
female,1959,yes,yes,yes,yes,yes,Yes,Control,4697,Yes,84540,3,21,0.4761905,0.9047619,1
male,1960,yes,yes,yes,yes,yes,No,Control,4697,No,84540,3,21,0.4761905,0.9047619,0
male,1953,yes,yes,yes,yes,no,Yes,Self,4697,Yes,84541,3,21,0.3333333,0.9047619,1
male,1977,yes,yes,yes,no,no,No,Self,4697,Yes,84541,3,21,0.3333333,0.9047619,1
female,1953,yes,yes,yes,yes,no,No,Self,4697,No,84541,3,21,0.3333333,0.9047619,0
male,1941,yes,yes,yes,yes,yes,No,Civic Duty,4697,No,84542,2,21,0.2857143,0.9047619,0
female,1944,yes,yes,yes,yes,yes,Yes,Civic Duty,4697,Yes,84542,2,21,0.2857143,0.9047619,1
female,1931,yes,yes,yes,no,no,No,Hawthorne,4697,Yes,84543,2,21,0.4285714,0.9047619,1
male,1930,yes,yes,yes,yes,no,No,Hawthorne,4697,Yes,84543,2,21,0.4285714,0.9047619,1
female,1951,yes,no,yes,no,no,Yes,Control,4697,Yes,84544,1,21,0.4285714,0.8095238,1
male,1950,yes,yes,yes,yes,yes,No,Neighbors,4697,No,84545,2,21,0.3809524,0.952381,0
female,1948,yes,yes,yes,no,no,No,Neighbors,4697,No,84545,2,21,0.3809524,0.952381,0
male,1959,no,no,yes,no,no,No,Control,4697,No,84546,3,21,0.3809524,0.952381,0
female,1930,yes,yes,yes,yes,yes,Yes,Control,4697,No,84546,3,21,0.3809524,0.952381,0
female,1956,yes,yes,yes,yes,yes,No,Control,4697,No,84546,3,21,0.3809524,0.952381,0
male,1914,yes,yes,yes,yes,yes,No,Neighbors,4702,No,84619,1,21,0.0952381,0.7619048,0
male,1968,yes,yes,yes,yes,no,No,Hawthorne,4702,Yes,84620,2,21,0.1428571,0.952381,1
female,1965,yes,no,yes,no,no,Yes,Hawthorne,4702,No,84620,2,21,0.1428571,0.952381,0
male,1924,yes,yes,yes,no,yes,No,Neighbors,4702,No,84621,1,21,0.1428571,1,0
female,1948,no,yes,yes,no,no,No,Control,4702,Yes,84622,1,21,0.0952381,1,1
male,1966,yes,yes,yes,no,no,No,Control,4702,No,84623,2,21,0.3809524,0.7619048,0
female,1949,yes,yes,yes,no,no,Yes,Control,4702,No,84623,2,21,0.3809524,0.7619048,0
female,1946,yes,yes,yes,no,no,Yes,Control,4702,Yes,84624,2,21,0.5238096,0.952381,1
male,1947,yes,yes,yes,no,no,Yes,Control,4702,Yes,84624,2,21,0.5238096,0.952381,1
female,1947,yes,no,yes,no,no,No,Control,4702,Yes,84625,2,21,0.4761905,1,1
male,1947,yes,no,yes,no,no,No,Control,4702,No,84625,2,21,0.4761905,1,0
male,1928,yes,yes,yes,yes,no,No,Civic Duty,4702,Yes,84626,2,21,0.5238096,1,1
female,1930,yes,yes,yes,no,no,No,Civic Duty,4702,No,84626,2,21,0.5238096,1,0
male,1936,yes,yes,yes,no,no,Yes,Control,4702,Yes,84627,2,21,0.3333333,1,1
female,1936,yes,no,yes,no,no,Yes,Control,4702,Yes,84627,2,21,0.3333333,1,1
male,1949,yes,yes,yes,no,no,Yes,Self,4702,No,84628,2,21,0.3809524,0.952381,0
female,1951,yes,yes,yes,no,no,Yes,Self,4702,No,84628,2,21,0.3809524,0.952381,0
female,1963,yes,yes,yes,no,no,Yes,Control,4702,Yes,84629,2,21,0.4285714,0.952381,1
male,1961,yes,yes,yes,yes,no,No,Control,4702,No,84629,2,21,0.4285714,0.952381,0
male,1938,yes,yes,yes,yes,yes,Yes,Control,4702,Yes,84630,2,21,0.3333333,0.952381,1
female,1940,yes,yes,yes,no,yes,Yes,Control,4702,No,84630,2,21,0.3333333,0.952381,0
male,1938,yes,yes,yes,no,no,Yes,Self,4702,No,84631,2,21,0.5714286,1,0
female,1938,yes,yes,yes,no,no,Yes,Self,4702,No,84631,2,21,0.5714286,1,0
female,1958,yes,yes,yes,yes,no,Yes,Control,4702,No,84632,2,21,0.5238096,1,0
male,1952,yes,yes,yes,yes,no,Yes,Control,4702,No,84632,2,21,0.5238096,1,0
female,1939,yes,yes,yes,no,no,No,Hawthorne,4702,No,84633,2,21,0.5714286,1,0
male,1937,yes,yes,yes,no,yes,No,Hawthorne,4702,No,84633,2,21,0.5714286,1,0
female,1937,yes,yes,yes,yes,yes,No,Civic Duty,4702,Yes,84634,2,21,0.5714286,0.952381,1
male,1934,yes,yes,yes,yes,yes,No,Civic Duty,4702,Yes,84634,2,21,0.5714286,0.952381,1
